sistema,num_cicloe,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e,estatus
Ecobici,20,Av. Paseo de la Reforma,Rio Tamesis,Cuauhtemoc,Cuauhtemoc,19.430907,-99.160148,Banqueta,Instalada
Ecobici,465,Lago Ginebra,Lago Wetter,Cuauhtemoc Pensil,Miguel Hidalgo,19.445039,-99.194078,Arroyo,Instalada
Ecobici,652,Xicotencatl,Av. Division del Norte,Del Carmen,Coyoacan,19.354876,-99.153611,Arroyo,Instalada
Ecobici,653,Londres,Av. Division del Norte,Del Carmen,Coyoacan,19.35674,-99.15309,Arroyo,Instalada
Ecobici,654,Londres,San Pedro,Del Carmen,Coyoacan,19.355942,-99.157461,Arroyo,Instalada
Ecobici,655,Gomez Farias,Viena,Del Carmen,Coyoacan,19.357076,-99.160189,Arroyo,Instalada
Ecobici,656,Ignacio Allende,Paris,Del Carmen,Coyoacan,19.3543111,-99.16243611,Arroyo,Instalada
Ecobici,657,Madrid,Centenario,Del Carmen,Coyoacan,19.3574361,-99.16379444,Arroyo,Instalada
Ecobici,658,Vicente Guerrero,Berlin,Del Carmen,Coyoacan,19.355339,-99.165613,Arroyo,Instalada
Ecobici,659,Madrid,Avenida Mexico,Del Carmen,Coyoacan,19.3564861,-99.16945556,Arroyo,Instalada
Ecobici,660,Josefa Ortiz de Dominguez,Circuito Interior,Del Carmen,Coyoacan,19.3580028,-99.17010556,Arroyo,Instalada
Ecobici,661,Madrid,Av. Universidad,Del Carmen,Coyoacan,19.35675,-99.171769,Arroyo,Instalada
Ecobici,693,Xicotencatl,Vicente Guerrero,Del Carmen,Coyoacan,19.352531,-99.164913,Arroyo,Instalada
Ecobici,694,Ignacio Aldama,Centenario,Del Carmen,Coyoacan,19.353243,-99.163753,Arroyo,Instalada
Ecobici,695,Malintzin,Allende,Del Carmen,Coyoacan,19.352143,-99.162096,Arroyo,Instalada
Ecobici,696,Av. Mexico,Malintzin,Del Carmen,Coyoacan,19.35154,-99.164523,Arroyo,Instalada
Ecobici,700,Abasolo,Avenida Miguel Hidalgo,Del Carmen,Coyoacan,19.350062,-99.160024,Arroyo,Instalada
Ecobici,701,Cuauhtemoc,Morelos,Del Carmen,Coyoacan,19.352052,-99.157981,Arroyo,Instalada
Ecobici,703,Avenida Miguel Hidalgo,Calzada General Anaya,Del Carmen,Coyoacan,19.350776,-99.155379,Arroyo,Instalada
Ecobici,515,Tebas,Salonica,Del Recreo,Azcapotzalco,19.46969,-99.18405,Arroyo,Instalada
Ecobici,324,Amores,Avenida Eugenia,Del Valle Centro,Benito Juarez,19.387342,-99.165629,Arroyo,Instalada
Ecobici,325,Providencia,Avenida Del Valle,Del Valle Centro,Benito Juarez,19.388178,-99.169689,Arroyo,Instalada
Ecobici,335,Magdalena,Ameyalco,Del Valle Centro,Benito Juarez,19.386985,-99.173416,Arroyo,Instalada
Ecobici,336,San Borja,Cda. Dr. J. Bartolache,Del Valle Centro,Benito Juarez,19.385531,-99.169673,Arroyo,Instalada
Ecobici,337,San Borja,Martin Mendalde,Del Valle Centro,Benito Juarez,19.384849,-99.16704,Arroyo,Instalada
Ecobici,338,Nicolas San Juan,San Borja,Del Valle Centro,Benito Juarez,19.384242,-99.16326,Arroyo,Instalada
Ecobici,343,Enrique Rebsamen,Av. Division del Norte,Del valle Centro,Benito Juarez,19.383904,-99.160875,Arroyo,Instalada
Ecobici,356,Matias Romero,Adolfo Prieto,Del Valle Centro,Benito Juarez,19.381287,-99.1702,Arroyo,Instalada
Ecobici,357,Matias Romero,Amores,Del Valle Centro,Benito Juarez,19.380617,-99.167066,Arroyo,Instalada
Ecobici,358,Nicolas San Juan,Matias Romero,Del Valle Centro,Benito Juarez,19.380087,-99.16427,Arroyo,Instalada
Ecobici,359,Matias Romero,Pestalozzi,Del Valle Centro,Benito Juarez,19.379331,-99.161163,Arroyo,Instalada
Ecobici,360,Heriberto Frias,Matias Romero,Del Valle Centro,Benito Juarez,19.379435,-99.162794,Arroyo,Instalada
Ecobici,361,Porfirio Diaz,Capulin,Del Valle Centro,Benito Juarez,19.380691,-99.175036,Arroyo,Instalada
Ecobici,373,Pilares,Eje 2 Pte. Gabriel Mancera,Del valle Centro,Benito Juarez,19.377932,-99.166594,Arroyo,Instalada
Ecobici,374,Pitagoras,Pilares,Del valle Centro,Benito Juarez,19.376918,-99.16108,Arroyo,Instalada
Ecobici,278,Mier y Pesado,Obrero Mundial,Del Valle Norte,Benito Juarez,19.40071,-99.163831,Arroyo,Instalada
Ecobici,279,La Morena,Providencia,Del Valle Norte,Benito Juarez,19.399908,-99.166553,Arroyo,Instalada
Ecobici,282,La Morena,Eje 2 Pte. Gabriel Mancera,Del Valle Norte,Benito Juarez,19.398692,-99.161273,Arroyo,Instalada
