Prefix,num_cicloe,calle_prin,calle_secu
CE,524,MALVÓN,JUAN SARABIA
CE,525,BOLDO,TILA
CE,526,TORONJIL,MEJORANA
CE,527,BOLDO,ALCANFORES
CE,528,TLATILCO,AV. JARDÍN
CE,529,AV PLAN DE SAN LUIS,CALLE CLAVELINAS
CE,530,MEMBRILLO,CDA. NUECES
CE,531,NORTE 67,PONIENTE 44
CE,532,AV. BIÓLOGO MAXIMINO MARTÍNEZ,CAMARONES
CE,533,AV PLAN DE SAN LUIS,EULALIA GÚZMAN
CE,534,TLATILCO,JAZMÍN
CE,535,AV. JARDÍN,ORQUÍDEA
CE,536,FRESNO,EULALIA GUZMÁN (EJE 2 NORTE)
CE,537,FRESNO,CLAVEL
CE,538,NOGAL,ELIGIO ANCONA
CE,539,NARANJO,AV. RICARDO FLORES MAGON
CE,540,EUCALIPTO,RICARDO FLORES MAGÓN
CE,541,ELIGIO ANCONA,NARANJO
CE,542,DR. ENRIQUE GONZÁLEZ MARTÍNEZ,ELIGIO ANCONA
CE,543,JAIME TORRES BODET,MANUEL CARPIO
CE,544,SALVADOR DÍAZ MIRÓN,NOGAL
