Prefix,num_cicloe,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e,estatus
Ce,179,Nuevo León,Quintana Roo,Hipodromo,Cuauhtemoc,19.404452,-99.171438,Camell<F3>N,Instalada
Ce,180,Quintana Roo,Villahermosa,Hipodromo,Cuauhtemoc,19.404554,-99.169953,Arroyo,Instalada
Ce,181,Benjamín Franklin,Ometusco,Hipodromo,Cuauhtemoc,19.404733,-99.174461,Arroyo,Instalada
Ce,182,Progreso,Astrónomos,Escandon,Miguel Hidalgo,19.40198,-99.17132,Arroyo,Instalada
Ce,183,Gabino Barreda,Guillermo Prieto,San Rafael,Cuauhtemoc,19.437665,-99.164018,Arroyo,Instalada
Ce,184,General Gómez Pedraza,Gobernador Tiburcio Montiel,San Miguel Chapultepec,Miguel Hidalgo,19.414793,-99.185083,Arroyo,Instalada
Ce,185,General Antonio Léon,General Pedro Antonio De Los Santos,San Miguel Chapultepec,Miguel Hidalgo,19.412776,-99.182805,Arroyo,Instalada
Ce,186,Gob. Gregorio V. Gelati,Gral. Francisco Molinos Del Campo,San Miguel Chapultepec,Miguel Hidalgo,19.412455,-99.188489,Arroyo,Instalada
Ce,187,General Cano,Gobernador Gregorio V. Gelati,San Miguel Chapultepec,Miguel Hidalgo,19.411227,-99.185514,Arroyo,Instalada
Ce,188,Gobernador Melchor Múzquiz,Gobernador Ignacio Esteva,San Miguel Chapultepec,Miguel Hidalgo,19.411711,-99.190139,Arroyo,Instalada
Ce,189,Gobernador Rafael Rebollar,Gobernador José Ceballos,San Miguel Chapultepec,Miguel Hidalgo,19.410036,-99.187978,Arroyo,Instalada
Ce,190,Gobernador Ignacio Esteva,Maestro José Vasconcelos,San Miguel Chapultepec,Miguel Hidalgo,19.409577,-99.183818,Arroyo,Instalada
Ce,191,Gobernador Rafael Rebollar,Gobernador Vicente Eguía,San Miguel Chapultepec,Miguel Hidalgo,19.40796,-99.187901,Arroyo,Instalada
Ce,192-193,Rubén Darío,Reforma,Bosque De Chapultepec,Miguel Hidalgo,19.42592,-99.190755,Camell<F3>N,Instalada
Ce,194,Circuito Mahatma Gandhi,Reforma,Bosque De Chapultepec,Miguel Hidalgo,19.424282,-99.180334,Banqueta,Instalada
Ce,195,Reforma,Circuito Mahatma Gandhi,Bosque De Chapultepec,Miguel Hidalgo,19.424858,-99.185181,Camell<F3>N,Instalada
Ce,196,Lago Tanganica,Av. Ejército Nacional,Granada,Miguel Hidalgo,19.438349,-99.192904,Arroyo,Instalada
Ce,197,Presa Falcón,Miguel De Cervantes Saavedra,Ampliacion Granada,Miguel Hidalgo,19.440501,-99.205086,Arroyo,Instalada
Ce,198,Sócrates,Ejército Nacional,Polanco,Miguel Hidalgo,19.438168,-99.203888,Arroyo,Instalada
Ce,199,Anatole France,Av. Ejército Nacional,Polanco,Miguel Hidalgo,19.437934,-99.197241,Arroyo,Instalada
Ce,200,Emerson,Av. Ejército Nacional,Polanco,Miguel Hidalgo,19.437596,-99.188785,Arroyo,Instalada
Ce,201,Lope De Vega,Av. Ejército Nacional,Polanco,Miguel Hidalgo,19.437431,-99.187215,Arroyo,Instalada
Ce,202,Calderón De La Barca,Av. Homero,Polanco,Miguel Hidalgo,19.436064,-99.198898,Arroyo,Instalada
Ce,203,Tennyson,Av. Homero,Polanco,Miguel Hidalgo,19.435985,-99.194832,Arroyo,Instalada
